nb_points,naive_time,naive_precision,welzl_time,welzl_precision
10,0.0003740320003089437,1.0,0.00023666099968977505,0.8
50,0.09328444099992339,1.0,0.0002096120001624513,0.98
100,0.27864333499974236,1.0,0.0013294489999680081,0.98
150,0.8265516490000664,1.0,0.001559941000323306,0.9933333333333333
200,1.5731291379997856,1.0,0.0007489159997930983,0.995
250,3.3499155149997932,1.0,0.00698216799992224,0.992
300,3.7020866400002888,1.0,0.0036995870000282594,0.9966666666666667
350,5.91051637999999,1.0,0.0055492679998678796,0.9971428571428571
399,7.7027249689999735,1.0,0.0039180170001600345,0.9974937343358395
449,9.80129165299968,1.0,0.027446451999821875,0.9933184855233853
499,11.99518598700024,1.0,0.008174237000275753,0.9959919839679359
549,19.008607884000412,1.0,0.0047899030000735365,0.9981785063752276
597,22.684760511999684,1.0,0.00472282400005497,0.998324958123953
